# NWS county table for the weather alert picker. Generated by cmd/wxzoneseed.
# SAME|UGC|Name|State|WFO   see internal/wxzones/seed/README.md
# Captured 2026-08-23 from https://api.weather.gov/zones?type=county
001001|ALC001|Autauga|AL|BMX
001003|ALC003|Baldwin|AL|MOB
001005|ALC005|Barbour|AL|BMX
001007|ALC007|Bibb|AL|BMX
001009|ALC009|Blount|AL|BMX
001011|ALC011|Bullock|AL|BMX
001013|ALC013|Butler|AL|MOB
001015|ALC015|Calhoun|AL|BMX
001017|ALC017|Chambers|AL|BMX
001019|ALC019|Cherokee|AL|BMX
001021|ALC021|Chilton|AL|BMX
001023|ALC023|Choctaw|AL|MOB
001025|ALC025|Clarke|AL|MOB
001027|ALC027|Clay|AL|BMX
001029|ALC029|Cleburne|AL|BMX
001031|ALC031|Coffee|AL|TAE
001033|ALC033|Colbert|AL|HUN
001035|ALC035|Conecuh|AL|MOB
001037|ALC037|Coosa|AL|BMX
001039|ALC039|Covington|AL|MOB
001041|ALC041|Crenshaw|AL|MOB
001043|ALC043|Cullman|AL|HUN
001045|ALC045|Dale|AL|TAE
001047|ALC047|Dallas|AL|BMX
001049|ALC049|DeKalb|AL|HUN
001051|ALC051|Elmore|AL|BMX
001053|ALC053|Escambia|AL|MOB
001055|ALC055|Etowah|AL|BMX
001057|ALC057|Fayette|AL|BMX
001059|ALC059|Franklin|AL|HUN
001061|ALC061|Geneva|AL|TAE
001063|ALC063|Greene|AL|BMX
001065|ALC065|Hale|AL|BMX
001067|ALC067|Henry|AL|TAE
001069|ALC069|Houston|AL|TAE
001071|ALC071|Jackson|AL|HUN
001073|ALC073|Jefferson|AL|BMX
001075|ALC075|Lamar|AL|BMX
001077|ALC077|Lauderdale|AL|HUN
001079|ALC079|Lawrence|AL|HUN
001081|ALC081|Lee|AL|BMX
001083|ALC083|Limestone|AL|HUN
001085|ALC085|Lowndes|AL|BMX
001087|ALC087|Macon|AL|BMX
001089|ALC089|Madison|AL|HUN
001091|ALC091|Marengo|AL|BMX
001093|ALC093|Marion|AL|BMX
001095|ALC095|Marshall|AL|HUN
001097|ALC097|Mobile|AL|MOB
001099|ALC099|Monroe|AL|MOB
001101|ALC101|Montgomery|AL|BMX
001103|ALC103|Morgan|AL|HUN
001105|ALC105|Perry|AL|BMX
001107|ALC107|Pickens|AL|BMX
001109|ALC109|Pike|AL|BMX
001111|ALC111|Randolph|AL|BMX
